2025/07/28 09:17:29 🚀 启动分布式缓存节点: node3
2025/07/28 09:17:29 📡 监听地址: :8003
2025/07/28 09:17:29 🌐 集群节点: map[node1:localhost:8001 node2:localhost:8002 node3:localhost:8003]
2025/07/28 09:17:29 🌐 启动集群管理器，节点ID: node3
2025/07/28 09:17:29 🚀 启动分布式缓存节点: node3
2025/07/28 09:17:29 📡 监听地址: localhost:8003
2025/07/28 09:17:29 🌐 集群节点数: 3
2025/07/28 09:17:31 ✅ 成功通知节点 localhost:8001 关于节点加入
2025/07/28 09:17:31 ✅ 成功通知节点 localhost:8002 关于节点加入
[GIN] 2025/07/28 - 09:17:33 | 200 |      22.403µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/28 - 09:17:41 | 200 |        4.89µs |       127.0.0.1 | DELETE   "/internal/cache/lb:test:4"
[GIN] 2025/07/28 - 09:17:41 | 200 |       3.575µs |       127.0.0.1 | DELETE   "/internal/cache/lb:test:5"
[GIN] 2025/07/28 - 09:17:41 | 200 |      65.311µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:6"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.441µs |       127.0.0.1 | DELETE   "/internal/cache/lb:test:7"
[GIN] 2025/07/28 - 09:17:41 | 200 |     140.885µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:9"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.031µs |       127.0.0.1 | PUT      "/api/v1/cache/product:2002"
[GIN] 2025/07/28 - 09:17:41 | 200 |     150.329µs |       127.0.0.1 | PUT      "/api/v1/cache/session:abc"
[GIN] 2025/07/28 - 09:17:41 | 200 |     153.414µs |       127.0.0.1 | PUT      "/api/v1/cache/user:1003"
[GIN] 2025/07/28 - 09:17:41 | 200 |     130.619µs |       127.0.0.1 | GET      "/api/v1/cache/user:1002"
[GIN] 2025/07/28 - 09:17:41 | 200 |       3.185µs |       127.0.0.1 | GET      "/api/v1/cache/product:2002"
[GIN] 2025/07/28 - 09:17:41 | 200 |      68.993µs |       127.0.0.1 | PUT      "/api/v1/cache/batch:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.486µs |       127.0.0.1 | PUT      "/internal/cache/batch:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |     132.726µs |       127.0.0.1 | GET      "/api/v1/cache/batch:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.716µs |       127.0.0.1 | GET      "/internal/cache/batch:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |      80.011µs |       127.0.0.1 | DELETE   "/api/v1/cache/user:1001"
[GIN] 2025/07/28 - 09:17:41 | 200 |     139.573µs |       127.0.0.1 | GET      "/api/v1/cache/user:1001"
[GIN] 2025/07/28 - 09:17:41 | 200 |      79.082µs |       127.0.0.1 | PUT      "/api/v1/cache/failover:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.348µs |       127.0.0.1 | PUT      "/internal/cache/failover:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |     139.784µs |       127.0.0.1 | GET      "/api/v1/cache/failover:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |        9.18µs |       127.0.0.1 | GET      "/internal/cache/failover:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |      61.985µs |       127.0.0.1 | DELETE   "/api/v1/cache/failover:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |       4.131µs |       127.0.0.1 | DELETE   "/internal/cache/failover:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |      78.448µs |       127.0.0.1 | GET      "/api/v1/stats"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.176µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.959µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |     177.505µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:5"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.461µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:8"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.421µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:9"
[GIN] 2025/07/28 - 09:17:41 | 200 |     168.468µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:11"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.715µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:13"
[GIN] 2025/07/28 - 09:17:41 | 200 |     192.459µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:14"
[GIN] 2025/07/28 - 09:17:41 | 200 |     179.012µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:17"
[GIN] 2025/07/28 - 09:17:41 | 200 |     547.927µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:20"
[GIN] 2025/07/28 - 09:17:41 | 200 |       16.98µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:21"
[GIN] 2025/07/28 - 09:17:41 | 200 |     212.002µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:23"
[GIN] 2025/07/28 - 09:17:41 | 200 |     200.616µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:26"
[GIN] 2025/07/28 - 09:17:41 | 200 |     191.238µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:29"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.705µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:31"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.086µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:32"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.104µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:35"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.076µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:37"
[GIN] 2025/07/28 - 09:17:41 | 200 |     157.077µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:38"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.148µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:41"
[GIN] 2025/07/28 - 09:17:41 | 200 |     232.028µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:44"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.555µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:47"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.035µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:49"
[GIN] 2025/07/28 - 09:17:41 | 200 |     233.582µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:50"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.979µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:51"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.326µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:53"
[GIN] 2025/07/28 - 09:17:41 | 200 |     204.188µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:56"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.433µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:58"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.75µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:59"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.489µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:60"
[GIN] 2025/07/28 - 09:17:41 | 200 |     159.904µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:62"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.599µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:63"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.027µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:65"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.003µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:66"
[GIN] 2025/07/28 - 09:17:41 | 200 |       10.73µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:67"
[GIN] 2025/07/28 - 09:17:41 | 200 |     178.208µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:68"
[GIN] 2025/07/28 - 09:17:41 | 200 |        8.99µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:69"
[GIN] 2025/07/28 - 09:17:41 | 200 |     177.511µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:71"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.361µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:72"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.623µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:73"
[GIN] 2025/07/28 - 09:17:41 | 200 |     190.232µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:74"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.989µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:77"
[GIN] 2025/07/28 - 09:17:41 | 200 |     173.109µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:80"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.113µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:81"
[GIN] 2025/07/28 - 09:17:41 | 200 |     248.689µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:83"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.499µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:86"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.731µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:88"
[GIN] 2025/07/28 - 09:17:41 | 200 |     170.416µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:89"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.261µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:90"
[GIN] 2025/07/28 - 09:17:41 | 200 |     151.699µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:92"
[GIN] 2025/07/28 - 09:17:41 | 200 |     213.429µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:95"
[GIN] 2025/07/28 - 09:17:41 | 200 |        13.4µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:98"
[GIN] 2025/07/28 - 09:17:41 | 200 |     217.143µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:101"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.451µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:104"
[GIN] 2025/07/28 - 09:17:41 | 200 |     151.526µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:107"
[GIN] 2025/07/28 - 09:17:41 | 200 |     164.021µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:110"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.683µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:111"
[GIN] 2025/07/28 - 09:17:41 | 200 |     124.027µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:113"
[GIN] 2025/07/28 - 09:17:41 | 200 |      207.82µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:116"
[GIN] 2025/07/28 - 09:17:41 | 200 |     191.201µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:119"
[GIN] 2025/07/28 - 09:17:41 | 200 |       13.33µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:121"
[GIN] 2025/07/28 - 09:17:41 | 200 |      152.88µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:122"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.782µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:123"
[GIN] 2025/07/28 - 09:17:41 | 200 |     182.144µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:125"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.746µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:127"
[GIN] 2025/07/28 - 09:17:41 | 200 |     207.126µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:128"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.449µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:130"
[GIN] 2025/07/28 - 09:17:41 | 200 |     146.966µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:131"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.224µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:132"
[GIN] 2025/07/28 - 09:17:41 | 200 |     161.757µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:134"
[GIN] 2025/07/28 - 09:17:41 | 200 |     208.111µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:137"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.284µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:138"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.527µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:140"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.559µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:142"
[GIN] 2025/07/28 - 09:17:41 | 200 |     162.736µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:143"
[GIN] 2025/07/28 - 09:17:41 | 200 |       21.38µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:144"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.318µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:145"
[GIN] 2025/07/28 - 09:17:41 | 200 |     241.424µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:146"
[GIN] 2025/07/28 - 09:17:41 | 200 |     175.691µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:149"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.744µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:151"
[GIN] 2025/07/28 - 09:17:41 | 200 |     235.429µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:152"
[GIN] 2025/07/28 - 09:17:41 | 200 |       16.82µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:155"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.826µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:156"
[GIN] 2025/07/28 - 09:17:41 | 200 |     180.477µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:158"
[GIN] 2025/07/28 - 09:17:41 | 200 |       15.73µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:160"
[GIN] 2025/07/28 - 09:17:41 | 200 |     177.747µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:161"
[GIN] 2025/07/28 - 09:17:41 | 200 |     185.058µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:164"
[GIN] 2025/07/28 - 09:17:41 | 200 |      27.411µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:167"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.061µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:168"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.955µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:170"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.509µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:171"
[GIN] 2025/07/28 - 09:17:41 | 200 |     222.964µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:173"
[GIN] 2025/07/28 - 09:17:41 | 200 |     168.313µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:176"
[GIN] 2025/07/28 - 09:17:41 | 200 |      23.724µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:178"
[GIN] 2025/07/28 - 09:17:41 | 200 |     142.409µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:179"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.198µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:181"
[GIN] 2025/07/28 - 09:17:41 | 200 |     219.708µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:182"
[GIN] 2025/07/28 - 09:17:41 | 200 |     176.076µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:185"
[GIN] 2025/07/28 - 09:17:41 | 200 |     168.985µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:188"
[GIN] 2025/07/28 - 09:17:41 | 200 |     202.001µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:191"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.947µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:192"
[GIN] 2025/07/28 - 09:17:41 | 200 |     169.787µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:194"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.298µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:195"
[GIN] 2025/07/28 - 09:17:41 | 200 |     202.691µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:197"
[GIN] 2025/07/28 - 09:17:41 | 200 |     171.051µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:200"
[GIN] 2025/07/28 - 09:17:41 | 200 |     378.946µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:203"
[GIN] 2025/07/28 - 09:17:41 | 200 |      29.313µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:205"
[GIN] 2025/07/28 - 09:17:41 | 200 |     242.143µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:206"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.314µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:208"
[GIN] 2025/07/28 - 09:17:41 | 200 |     192.057µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:209"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.191µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:211"
[GIN] 2025/07/28 - 09:17:41 | 200 |     221.834µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:212"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.359µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:215"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.607µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:217"
[GIN] 2025/07/28 - 09:17:41 | 200 |     183.693µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:218"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.786µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:219"
[GIN] 2025/07/28 - 09:17:41 | 200 |     184.904µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:221"
[GIN] 2025/07/28 - 09:17:41 | 200 |       21.35µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:224"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.576µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:227"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.208µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:230"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.415µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:233"
[GIN] 2025/07/28 - 09:17:41 | 200 |     166.807µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:236"
[GIN] 2025/07/28 - 09:17:41 | 200 |     222.056µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:239"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.843µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:240"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.635µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:241"
[GIN] 2025/07/28 - 09:17:41 | 200 |     214.545µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:242"
[GIN] 2025/07/28 - 09:17:41 | 200 |     243.851µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:245"
[GIN] 2025/07/28 - 09:17:41 | 200 |     223.914µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:248"
[GIN] 2025/07/28 - 09:17:41 | 200 |      186.06µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:251"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.899µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:252"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.077µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:253"
[GIN] 2025/07/28 - 09:17:41 | 200 |     148.773µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:254"
[GIN] 2025/07/28 - 09:17:41 | 200 |     233.808µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:257"
[GIN] 2025/07/28 - 09:17:41 | 200 |     186.532µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:260"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.711µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:261"
[GIN] 2025/07/28 - 09:17:41 | 200 |      25.376µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:263"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.401µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:264"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.606µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:266"
[GIN] 2025/07/28 - 09:17:41 | 200 |     177.263µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:269"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.42µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:270"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.198µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:271"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.792µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:272"
[GIN] 2025/07/28 - 09:17:41 | 200 |     212.042µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:275"
[GIN] 2025/07/28 - 09:17:41 | 200 |     233.592µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:278"
[GIN] 2025/07/28 - 09:17:41 | 200 |     170.062µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:281"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.467µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:282"
[GIN] 2025/07/28 - 09:17:41 | 200 |     197.434µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:284"
[GIN] 2025/07/28 - 09:17:41 | 200 |     194.563µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:287"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.329µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:288"
[GIN] 2025/07/28 - 09:17:41 | 200 |     190.066µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:290"
[GIN] 2025/07/28 - 09:17:41 | 200 |     202.834µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:293"
[GIN] 2025/07/28 - 09:17:41 | 200 |      29.361µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:295"
[GIN] 2025/07/28 - 09:17:41 | 200 |     209.252µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:296"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.234µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:298"
[GIN] 2025/07/28 - 09:17:41 | 200 |       198.2µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:299"
[GIN] 2025/07/28 - 09:17:41 | 200 |      25.188µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:300"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.683µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:301"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.424µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:302"
[GIN] 2025/07/28 - 09:17:41 | 200 |     224.617µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:305"
[GIN] 2025/07/28 - 09:17:41 | 200 |      176.58µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:308"
[GIN] 2025/07/28 - 09:17:41 | 200 |     172.309µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:311"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.952µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:314"
[GIN] 2025/07/28 - 09:17:41 | 200 |     208.029µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:317"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.061µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:320"
[GIN] 2025/07/28 - 09:17:41 | 200 |      25.169µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:321"
[GIN] 2025/07/28 - 09:17:41 | 200 |     188.836µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:323"
[GIN] 2025/07/28 - 09:17:41 | 200 |     165.205µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:326"
