2025/07/28 09:17:23 🚀 启动分布式缓存节点: node1
2025/07/28 09:17:23 📡 监听地址: :8001
2025/07/28 09:17:23 🌐 集群节点: map[node1:localhost:8001 node2:localhost:8002 node3:localhost:8003]
2025/07/28 09:17:23 🌐 启动集群管理器，节点ID: node1
2025/07/28 09:17:23 🚀 启动分布式缓存节点: node1
2025/07/28 09:17:23 📡 监听地址: localhost:8001
2025/07/28 09:17:23 🌐 集群节点数: 3
2025/07/28 09:17:25 ⚠️ 通知节点加入失败 localhost:8002: Post "http://localhost:8002/internal/cluster/join": dial tcp 127.0.0.1:8002: connect: connection refused
2025/07/28 09:17:25 ⚠️ 通知节点加入失败 localhost:8003: Post "http://localhost:8003/internal/cluster/join": dial tcp 127.0.0.1:8003: connect: connection refused
2025/07/28 09:17:28 🔄 开始添加节点到集群: node2 (localhost:8002)
2025/07/28 09:17:28 ➕ 添加节点到集群: node2 (localhost:8002)
2025/07/28 09:17:28 🔄 开始网络数据迁移到节点: node2 (localhost:8002)
2025/07/28 09:17:28 ✅ 网络数据迁移完成: 迁移了 0 个key到节点 node2
2025/07/28 09:17:28 ⚠️ 跳过不健康的节点: node2
2025/07/28 09:17:28 ⚠️ 跳过不健康的节点: node3
2025/07/28 09:17:28 ✅ 节点添加完成: node2
[GIN] 2025/07/28 - 09:17:28 | 200 |     423.214µs |       127.0.0.1 | POST     "/internal/cluster/join"
[GIN] 2025/07/28 - 09:17:41 | 200 |     249.094µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:33"
[GIN] 2025/07/28 - 09:17:41 | 200 |      25.076µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:34"
[GIN] 2025/07/28 - 09:17:41 | 200 |     264.922µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:36"
[GIN] 2025/07/28 - 09:17:41 | 200 |      29.473µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:39"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.347µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:42"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.308µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:43"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.184µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:45"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.647µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:46"
[GIN] 2025/07/28 - 09:17:41 | 200 |     279.209µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:48"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.504µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:50"
[GIN] 2025/07/28 - 09:17:41 | 200 |     215.782µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:51"
[GIN] 2025/07/28 - 09:17:41 | 200 |      32.585µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:54"
[GIN] 2025/07/28 - 09:17:41 | 200 |      237.34µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:57"
[GIN] 2025/07/28 - 09:17:41 | 200 |     229.704µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:60"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.746µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:61"
[GIN] 2025/07/28 - 09:17:41 | 200 |      232.66µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:63"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.496µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:64"
[GIN] 2025/07/28 - 09:17:41 | 200 |     213.645µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:66"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.57µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:68"
[GIN] 2025/07/28 - 09:17:41 | 200 |     189.443µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:69"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.129µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:71"
[GIN] 2025/07/28 - 09:17:41 | 200 |     198.514µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:72"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.652µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:74"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.708µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:75"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.817µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:76"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.976µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:78"
[GIN] 2025/07/28 - 09:17:41 | 200 |     174.718µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:81"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.329µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:82"
[GIN] 2025/07/28 - 09:17:41 | 200 |       19.82µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:83"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.392µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:84"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.601µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:87"
[GIN] 2025/07/28 - 09:17:41 | 200 |     287.283µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:90"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.353µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:91"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.001µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:92"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.185µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:93"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.218µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:95"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.926µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:96"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.691µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:99"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.718µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:100"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.162µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:101"
[GIN] 2025/07/28 - 09:17:41 | 200 |     470.069µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:102"
[GIN] 2025/07/28 - 09:17:41 | 200 |      23.615µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:105"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.795µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:106"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.482µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:108"
[GIN] 2025/07/28 - 09:17:41 | 200 |      23.322µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:109"
[GIN] 2025/07/28 - 09:17:41 | 200 |       228.6µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:111"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.91µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:112"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.514µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:113"
[GIN] 2025/07/28 - 09:17:41 | 200 |     176.718µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:114"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.938µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:115"
[GIN] 2025/07/28 - 09:17:41 | 200 |     267.422µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:117"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.013µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:119"
[GIN] 2025/07/28 - 09:17:41 | 200 |     204.171µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:120"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.452µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:122"
[GIN] 2025/07/28 - 09:17:41 | 200 |     224.175µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:123"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.805µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:124"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.197µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:126"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.194µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:128"
[GIN] 2025/07/28 - 09:17:41 | 200 |     235.157µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:129"
[GIN] 2025/07/28 - 09:17:41 | 200 |      227.53µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:132"
[GIN] 2025/07/28 - 09:17:41 | 200 |       12.54µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:133"
[GIN] 2025/07/28 - 09:17:41 | 200 |      33.349µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:134"
[GIN] 2025/07/28 - 09:17:41 | 200 |     187.885µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:135"
[GIN] 2025/07/28 - 09:17:41 | 200 |     174.151µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:138"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.674µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:141"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.061µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:143"
[GIN] 2025/07/28 - 09:17:41 | 200 |     222.607µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:144"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.955µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:146"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.092µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:147"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.627µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:148"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.564µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:150"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.021µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:153"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.437µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:154"
[GIN] 2025/07/28 - 09:17:41 | 200 |     228.326µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:156"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.774µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:157"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.589µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:158"
[GIN] 2025/07/28 - 09:17:41 | 200 |      21.772µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:159"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.141µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:161"
[GIN] 2025/07/28 - 09:17:41 | 200 |       19.82µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:162"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.384µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:164"
[GIN] 2025/07/28 - 09:17:41 | 200 |     224.349µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:165"
[GIN] 2025/07/28 - 09:17:41 | 200 |     153.268µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:168"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.294µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:169"
[GIN] 2025/07/28 - 09:17:41 | 200 |      155.04µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:171"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.723µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:172"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.327µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:174"
[GIN] 2025/07/28 - 09:17:41 | 200 |     209.354µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:177"
[GIN] 2025/07/28 - 09:17:41 | 200 |     140.375µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:180"
[GIN] 2025/07/28 - 09:17:41 | 200 |     196.353µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:183"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.069µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:184"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.364µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:185"
[GIN] 2025/07/28 - 09:17:41 | 200 |     144.469µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:186"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.475µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:187"
[GIN] 2025/07/28 - 09:17:41 | 200 |      10.142µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:189"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.775µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:190"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.967µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:191"
[GIN] 2025/07/28 - 09:17:41 | 200 |     126.981µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:192"
[GIN] 2025/07/28 - 09:17:41 | 200 |     195.867µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:195"
[GIN] 2025/07/28 - 09:17:41 | 200 |     178.536µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:198"
[GIN] 2025/07/28 - 09:17:41 | 200 |     163.702µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:201"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.781µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:203"
[GIN] 2025/07/28 - 09:17:41 | 200 |      17.364µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:204"
[GIN] 2025/07/28 - 09:17:41 | 200 |       11.94µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:207"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.299µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:209"
[GIN] 2025/07/28 - 09:17:41 | 200 |     171.225µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:210"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.696µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:213"
[GIN] 2025/07/28 - 09:17:41 | 200 |     221.707µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:216"
[GIN] 2025/07/28 - 09:17:41 | 200 |     209.025µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:219"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.427µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:221"
[GIN] 2025/07/28 - 09:17:41 | 200 |      225.24µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:222"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.528µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:223"
[GIN] 2025/07/28 - 09:17:41 | 200 |      14.883µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:225"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.704µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:228"
[GIN] 2025/07/28 - 09:17:41 | 200 |     161.637µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:231"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.451µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:234"
[GIN] 2025/07/28 - 09:17:41 | 200 |       11.34µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:235"
[GIN] 2025/07/28 - 09:17:41 | 200 |       11.38µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:236"
[GIN] 2025/07/28 - 09:17:41 | 200 |     191.203µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:237"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.594µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:239"
[GIN] 2025/07/28 - 09:17:41 | 200 |     243.062µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:240"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.251µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:243"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.994µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:244"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.238µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:246"
[GIN] 2025/07/28 - 09:17:41 | 200 |       13.78µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:247"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.212µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:249"
[GIN] 2025/07/28 - 09:17:41 | 200 |      19.415µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:251"
[GIN] 2025/07/28 - 09:17:41 | 200 |     155.099µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:252"
[GIN] 2025/07/28 - 09:17:41 | 200 |     183.845µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:255"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.122µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:257"
[GIN] 2025/07/28 - 09:17:41 | 200 |     197.473µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:258"
[GIN] 2025/07/28 - 09:17:41 | 200 |     194.928µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:261"
[GIN] 2025/07/28 - 09:17:41 | 200 |     204.462µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:264"
[GIN] 2025/07/28 - 09:17:41 | 200 |       11.46µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:265"
[GIN] 2025/07/28 - 09:17:41 | 200 |     158.462µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:267"
